id,opened_ts,asset,series,market_ticker,event_ticker,title,sub_title,strike_type,floor,cap,side,action,close_time,spot_at_open,p_model,kalshi_prob,odds,edge_pct,kelly_pct,stake,count,live,order_id,status,settle_price,settled_ts,pnl,product
24,2026-08-20T14:27:33.246617+00:00,SOL,KXSOLD,KXSOLD-26AUG2011-T86.4999,KXSOLD-26AUG2011,"SOL price on Aug 20, 2026?",$86.5 or above,greater,86.4999,,no,buy,2026-08-20T15:00:00Z,86.37,0.703,0.607,1.648,15.8,23.2,6.76,11,0,,lost,86.57,2026-08-20T15:04:56.800173+00:00,-6.76,SOL-USD
25,2026-08-20T14:27:33.246617+00:00,SOL,KXSOLD,KXSOLD-26AUG2011-T86.2499,KXSOLD-26AUG2011,"SOL price on Aug 20, 2026?",$86.25 or above,greater,86.2499,,yes,buy,2026-08-20T15:00:00Z,86.37,0.688,0.646,1.547,6.4,11.7,3.42,5,0,,won,86.57,2026-08-20T15:04:56.800173+00:00,1.87,SOL-USD
26,2026-08-20T14:27:33.246617+00:00,XRP,KXXRP,KXXRP-26AUG2017-B1.2099500,KXXRP-26AUG2017,"Ripple price at Aug 20, 2026 at 5pm EDT?",$1.2 to 1.2199,between,1.2,1.2199,no,buy,2026-08-20T21:00:00Z,1.2385,0.898,0.878,1.139,2.3,16.8,4.91,5,0,,won,1.2447,2026-08-20T21:19:52.544784+00:00,0.68,XRP-USD
27,2026-08-20T17:21:05.845460+00:00,SOL,KXSOLD,KXSOLD-26AUG2014-T87.4999,KXSOLD-26AUG2014,"SOL price on Aug 20, 2026?",$87.5 or above,greater,87.4999,,no,buy,2026-08-20T18:00:00Z,87.3,0.765,0.695,1.438,10.1,22.9,6.55,9,0,,lost,87.61,2026-08-20T18:26:06.046513+00:00,-6.55,SOL-USD
28,2026-08-20T17:21:05.845460+00:00,SOL,KXSOLD,KXSOLD-26AUG2014-T86.9999,KXSOLD-26AUG2014,"SOL price on Aug 20, 2026?",$87 or above,greater,86.9999,,yes,buy,2026-08-20T18:00:00Z,87.3,0.851,0.782,1.278,8.7,31.4,8.97,11,0,,won,87.61,2026-08-20T18:26:06.046513+00:00,2.49,SOL-USD
29,2026-08-20T17:21:05.845460+00:00,SOL,KXSOLD,KXSOLD-26AUG2017-T86.9999,KXSOLD-26AUG2017,"SOL price on Aug 20, 2026?",$87 or above,greater,86.9999,,yes,buy,2026-08-20T21:00:00Z,87.3,0.678,0.666,1.502,1.8,3.5,1.0,1,0,,won,87.59,2026-08-20T21:19:52.544784+00:00,0.5,SOL-USD
30,2026-08-20T17:54:22.642553+00:00,XRP,KXXRP,KXXRP-26AUG2017-B1.3299500,KXXRP-26AUG2017,"Ripple price at Aug 20, 2026 at 5pm EDT?",$1.32 to 1.3399,between,1.32,1.3399,yes,buy,2026-08-20T21:00:00Z,1.3249,0.529,0.366,2.733,44.5,8.7,2.47,6,0,,lost,1.2447,2026-08-20T21:19:52.544784+00:00,-2.47,XRP-USD
31,2026-08-20T17:54:22.642553+00:00,SOL,KXSOLD,KXSOLD-26AUG2117-T89.9999,KXSOLD-26AUG2117,"SOL price on Aug 21, 2026?",$90 or above,greater,89.9999,,no,buy,2026-08-21T21:00:00Z,87.775,0.878,0.792,1.263,10.9,41.4,11.82,14,0,,lost,91.79,2026-08-21T21:15:54.726332+00:00,-11.82,SOL-USD
32,2026-08-20T18:26:06.046513+00:00,SOL,KXSOLD,KXSOLD-26AUG2015-T87.4999,KXSOLD-26AUG2015,"SOL price on Aug 20, 2026?",$87.5 or above,greater,87.4999,,no,buy,2026-08-20T19:00:00Z,87.26,0.819,0.773,1.294,5.9,20.1,5.65,7,0,,won,86.88,2026-08-20T19:15:01.546853+00:00,1.66,SOL-USD
33,2026-08-20T19:15:01.546853+00:00,XRP,KXXRP,KXXRP-26AUG2017-B1.2299500,KXXRP-26AUG2017,"Ripple price at Aug 20, 2026 at 5pm EDT?",$1.22 to 1.2399,between,1.22,1.2399,yes,buy,2026-08-20T21:00:00Z,1.2251,0.609,0.487,2.051,25.0,14.3,4.03,8,0,,lost,1.2447,2026-08-20T21:19:52.544784+00:00,-4.03,XRP-USD
34,2026-08-20T19:15:01.546853+00:00,SOL,KXSOLD,KXSOLD-26AUG2016-T87.4999,KXSOLD-26AUG2016,"SOL price on Aug 20, 2026?",$87.5 or above,greater,87.4999,,no,buy,2026-08-20T20:00:00Z,87.17,0.855,0.763,1.31,12.1,38.8,10.97,14,0,,won,87.27,2026-08-20T20:19:06.949391+00:00,3.4,SOL-USD
35,2026-08-20T19:15:01.546853+00:00,SOL,KXSOLD,KXSOLD-26AUG2016-T87.2499,KXSOLD-26AUG2016,"SOL price on Aug 20, 2026?",$87.25 or above,greater,87.2499,,no,buy,2026-08-20T20:00:00Z,87.17,0.61,0.587,1.703,3.8,5.5,1.55,2,0,,lost,87.27,2026-08-20T20:19:06.949391+00:00,-1.55,SOL-USD
36,2026-08-20T19:15:01.546853+00:00,SOL,KXSOLD,KXSOLD-26AUG2016-T86.9999,KXSOLD-26AUG2016,"SOL price on Aug 20, 2026?",$87 or above,greater,86.9999,,yes,buy,2026-08-20T20:00:00Z,87.17,0.717,0.695,1.438,3.2,7.2,2.05,2,0,,won,87.27,2026-08-20T20:19:06.949391+00:00,0.9,SOL-USD
37,2026-08-20T20:19:06.949391+00:00,SOL,KXSOLD,KXSOLD-26AUG2117-T88.9999,KXSOLD-26AUG2117,"SOL price on Aug 21, 2026?",$89 or above,greater,88.9999,,no,buy,2026-08-21T21:00:00Z,87.37,0.825,0.763,1.31,8.1,25.9,7.42,9,0,,lost,91.79,2026-08-21T21:15:54.726332+00:00,-7.42,SOL-USD
38,2026-08-20T20:19:06.949391+00:00,XRP,KXXRP,KXXRP-26AUG2017-B1.2499500,KXXRP-26AUG2017,"Ripple price at Aug 20, 2026 at 5pm EDT?",$1.24 to 1.2599,between,1.24,1.2599,no,buy,2026-08-20T21:00:00Z,1.235,0.791,0.734,1.362,7.8,21.4,6.12,8,0,,lost,1.2447,2026-08-20T21:19:52.544784+00:00,-6.12,XRP-USD
39,2026-08-20T21:19:52.544784+00:00,SOL,KXSOLD,KXSOLD-26AUG2018-T87.7499,KXSOLD-26AUG2018,"SOL price on Aug 20, 2026?",$87.75 or above,greater,87.7499,,no,buy,2026-08-20T22:00:00Z,87.585,0.723,0.695,1.438,4.0,9.0,2.66,3,0,,won,87.47,2026-08-20T22:18:14.213776+00:00,1.17,SOL-USD
40,2026-08-20T21:19:52.544784+00:00,SOL,KXSOLD,KXSOLD-26AUG2018-T87.2499,KXSOLD-26AUG2018,"SOL price on Aug 20, 2026?",$87.25 or above,greater,87.2499,,yes,buy,2026-08-20T22:00:00Z,87.585,0.869,0.849,1.177,2.3,12.9,3.81,4,0,,won,87.47,2026-08-20T22:18:14.213776+00:00,0.67,SOL-USD
41,2026-08-20T23:18:17.955342+00:00,SOL,KXSOLD,KXSOLD-26AUG2020-T86.9999,KXSOLD-26AUG2020,"SOL price on Aug 20, 2026?",$87 or above,greater,86.9999,,yes,buy,2026-08-21T00:00:00Z,87.38,0.891,0.868,1.151,2.6,17.5,5.2,5,0,,won,87.65,2026-08-21T00:49:52.968673+00:00,0.79,SOL-USD
42,2026-08-21T02:19:10.066914+00:00,SOL,KXSOLD,KXSOLD-26AUG2117-T90.9999,KXSOLD-26AUG2117,"SOL price on Aug 21, 2026?",$91 or above,greater,90.9999,,no,buy,2026-08-21T21:00:00Z,89.18,0.871,0.734,1.362,18.6,41.4,12.35,16,0,,lost,91.79,2026-08-21T21:15:54.726332+00:00,-12.35,SOL-USD
43,2026-08-21T02:19:10.066914+00:00,SOL,KXSOLD,KXSOLD-26AUG2023-T89.4999,KXSOLD-26AUG2023,"SOL price on Aug 20, 2026?",$89.5 or above,greater,89.4999,,no,buy,2026-08-21T03:00:00Z,89.18,0.854,0.763,1.31,11.9,38.3,11.43,14,0,,won,89.18,2026-08-21T03:28:05.624918+00:00,3.54,SOL-USD
44,2026-08-21T02:19:10.066914+00:00,SOL,KXSOLD,KXSOLD-26AUG2023-T88.9999,KXSOLD-26AUG2023,"SOL price on Aug 20, 2026?",$89 or above,greater,88.9999,,yes,buy,2026-08-21T03:00:00Z,89.18,0.733,0.685,1.459,6.9,15.1,4.5,6,0,,won,89.18,2026-08-21T03:28:05.624918+00:00,2.07,SOL-USD
45,2026-08-21T03:28:05.624918+00:00,SOL,KXSOLD,KXSOLD-26AUG2117-T87.9999,KXSOLD-26AUG2117,"SOL price on Aug 21, 2026?",$88 or above,greater,87.9999,,yes,buy,2026-08-21T21:00:00Z,89.305,0.805,0.695,1.438,15.8,34.2,10.45,15,0,,won,91.79,2026-08-21T21:15:54.726332+00:00,4.58,SOL-USD
46,2026-08-21T03:28:05.624918+00:00,SOL,KXSOLD,KXSOLD-26AUG2100-T89.4999,KXSOLD-26AUG2100,"SOL price on Aug 21, 2026?",$89.5 or above,greater,89.4999,,no,buy,2026-08-21T04:00:00Z,89.305,0.775,0.695,1.438,11.4,26.1,7.97,11,0,,won,89.13,2026-08-21T04:09:17.674050+00:00,3.49,SOL-USD
47,2026-08-21T05:55:57.092858+00:00,SOL,KXSOLD,KXSOLD-26AUG2117-T91.9999,KXSOLD-26AUG2117,"SOL price on Aug 21, 2026?",$92 or above,greater,91.9999,,no,buy,2026-08-21T21:00:00Z,90.395,0.862,0.734,1.362,17.4,41.4,12.82,17,0,,won,91.79,2026-08-21T21:15:54.726332+00:00,4.64,SOL-USD
48,2026-08-21T08:30:11.091395+00:00,SOL,KXSOLD,KXSOLD-26AUG2117-T92.9999,KXSOLD-26AUG2117,"SOL price on Aug 21, 2026?",$93 or above,greater,92.9999,,no,buy,2026-08-21T21:00:00Z,91.355,0.883,0.753,1.327,17.2,45.8,14.19,18,0,,won,91.79,2026-08-21T21:15:54.726332+00:00,4.64,SOL-USD
49,2026-08-21T11:18:28.700772+00:00,SOL,KXSOLD,KXSOLD-26AUG2108-T90.7499,KXSOLD-26AUG2108,"SOL price on Aug 21, 2026?",$90.75 or above,greater,90.7499,,yes,buy,2026-08-21T12:00:00Z,90.925,0.705,0.656,1.524,7.5,14.3,4.42,6,0,,lost,90.1,2026-08-21T12:29:41.629653+00:00,-4.42,SOL-USD
50,2026-08-21T16:27:37.316820+00:00,SOL,KXSOLD,KXSOLD-26AUG2113-T91.4999,KXSOLD-26AUG2113,"SOL price on Aug 21, 2026?",$91.5 or above,greater,91.4999,,no,buy,2026-08-21T17:00:00Z,91.31,0.741,0.685,1.459,8.1,17.7,5.37,7,0,,lost,91.57,2026-08-21T17:01:12.042807+00:00,-5.37,SOL-USD
